Year	Total Gross	Releases	Average	#1 Release
2019	9049358235	741	12212359	Avengers: Endgame
2018	11840702898	963	12295641	Black Pantherxxxx
2017	11019755625	827	13324976	Beauty and the Beast
2016	11315386283	822	13765676	Finding Dory
2015	11097402429	805	13785593	Jurassic World
2014	10313301135	827	12470738	Guardians of the Galaxy
2013	10876921412	806	13494939	Iron Man 3
2012	10767475964	792	13595297	The Avengers
2011	10094459624	708	14257711	Harry Potter and the Deathly Hallows: Part 2
2010	10515141328	638	16481412	Avatar
2009	10536564021	626	16831571	Transformers: Revenge of the Fallen
2008	9566851953	706	13550781	The Dark Knight
2007	9541565894	760	12554691	Spider-Man 3
2006	8961444829	729	12292791	Pirates of the Caribbean: Dead Man's Chest
2005	8430135781	661	12753609	Star Wars: Episode III - Revenge of the Sith
2004	8957704882	664	13490519	Shrek 2
2003	8635237343	647	13346580	Finding Nemo
2002	8999682790	519	17340429	Spider-Man
2001	7827865084	384	20385065	Harry Potter and the Sorcerer's Stone
2000	7482375708	411	18205293	How the Grinch Stole Christmas
1999	7261313062	424	17125738	Star Wars: Episode I - The Phantom Menace
1998	6457186786	326	19807321	Titanic
1997	6089660529	294	20713131	Men in Black
1996	5456159449	296	18432971	Independence Day
1995	5240789670	279	18784192	Batman Forever
1994	5006961516	245	20436577	The Lion King
1993	4692906582	256	18331666	Jurassic Park
1992	4590971120	237	19371186	Batman Returns
1991	4284415187	246	17416321	Terminator 2: Judgment Day
1990	4357739936	229	19029432	Ghost
1989	4161847891	228	18253718	Batman
1988	3512311667	232	15139274	Who Framed Roger Rabbit
1987	3316173574	215	15424063	Beverly Hills Cop II
1986	3076856192	192	16025292	Top Gun
1985	2895618444	177	16359426	Back to the Future
1984	3121625555	163	19151077	Ghostbusters
1983	2602948675	139	18726249	Star Wars: Episode VI - Return of the Jedi
1982	2354088382	104	22635465	E.T. the Extra-Terrestrial
1981	911513083	55	16572965	Superman II
1980	1662304392	68	24445652	Star Wars: Episode V - The Empire Strikes Back
1979	1042797923	36	28966608	The Amityville Horror
1978	730473031	11	66406639	Grease
1977	354218414	6	59036402	Star Wars: Episode IV - A New Hope
